hs_code,description,version
0101100000,"asses, mules and hinnies",1999-2008
0101903000,horses for other purposes,1999-2008
0101909000,"asses, mules and hinnies",1999-2008
0102100000,pure-bred breeding live bovine animals,1999-2008
0102901000,cattles weighing not more than 350 kg,1999-2008
0102902000,other cows & buffaloes other than pure-bred breeding animals,1999-2008
0102909000,other cows & buffaloes other than pure-bred breeding animals,1999-2008
0103100000,live swine pure-bred breeding animals,1999-2008
0103910000,live swine weighing less than 50 kg,1999-2008
0103920000,live swine weighing 50 kg or more,1999-2008
0104101000,sheep pure-bred breeding animals,1999-2008
0104109000,sheep other than pure-bred breedinganimals,1999-2008
0104201000,goats pure-bred breeding animals,1999-2008
0104209000,goats other pure - bred breeding animals,1999-2008
0105111000,"fowls pure-bred breeding animals, weight lt. 185 gram",1999-2008
0105119000,"fowls other than pure-bred breeding animals, weight lt. 185 gram",1999-2008
0105121000,pure-bred breeding live turkeys animals,1999-2008
0105129000,other live turkeys,1999-2008
0105191000,"other than fowls pure-bred breedinganimals, weight lt. 185 gram",1999-2008
0105193000,"other than fowls pure-bred breedinganimals, weight lt. 185 gram",1999-2008
0105199000,"fowl other than pure-bred breeding animals, weight lt. 185 gram",1999-2008
0105941000,pure-bred breeding live fowls ani mals weight lt. 2000 g,1999-2008
0105942000,other live fowls weight lt. 2000 g,1999-2008
0105943000,other live fowls weight > 2000 g,1999-2008
0105949000,other live fowls weight lt. 2000 g,1999-2008
0105991000,oth. than fowls pure-bred breeding animals weight >= 185 gram,1999-2008
0105992000,other than fowls other than pure- bred breeding animals weight>=185g,1999-2008
0105993000,oth. than fowls pure-bred breeding animals weight >= 185 gram,1999-2008
0105994000,other than fowls other than pure- bred breeding animals weight>=185g,1999-2008
0106110000,other live animals other pure-bred breeding animals,1999-2008
0106120000,other live animals other pure-bred breeding animals,1999-2008
0106190000,other live animals other pure-bred breeding animals,1999-2008
0106200000,other live animals other pure-bred breeding animals,1999-2008
0106310000,other live animals other pure-bred breeding animals,1999-2008
0106320000,other live animals other pure-bred breeding animals,1999-2008
0106390000,other live animals other pure-bred breeding animals,1999-2008
0106900000,other live animals for human food other pure-bred breeding animals,1999-2008
0201100000,"meat of bovine animals, fresh or chilled carcasses & half-carcasses",1999-2008
0201200000,"meat of bovine animals, fresh or chilled other cuts with bone in",1999-2008
0201300000,"meat of bovine animals, fresh or chilled boneless",1999-2008
0202100000,"meat of bovine animals , frozen carcasses & half-carcasses",1999-2008
0202200000,"meat of bovine animals , frozen other cuts with bone in",1999-2008
0202300000,"meat of bovine animals, frozen boneless",1999-2008
0203110000,meat of swine fresh or chilled carcasses & half-carcasses,1999-2008
0203120000,"meat of swine fresh/chilled hams, shoulders &cuts therof,with bone i",1999-2008
0203190000,meat of swine fresh or chilled other than carcasses & hams,1999-2008
0203210000,meat of swine frozen carcasses andhalf-carcasses,1999-2008
0203220000,"meat of swine frozen hams,shoulders & cuts thereof, with bone in",1999-2008
0203290000,meat of swine frozen other than carcasses & hams,1999-2008
0204100000,carcasses and half-carcasses of lamb fresh / chilled,1999-2008
0204210000,"other meat of sheep, fresh/chilled carcasses and half-carcasses",1999-2008
0204220000,"other meat of sheep, fresh/chilled other cuts with bone in",1999-2008
0204230000,"other meat of sheep, fresh/chilled boneless",1999-2008
