hs_code,description,version
01012900,"live horses, other than pure-bred breeding animals",2022
01013010,"live asses, pure-bred breeding animals",2022
01013090,"live asses, other than pure-bred breeding animals",2022
01019000,live mules and hinnies,2022
01022100,"live cattle, pure-bred breeding animals",2022
01022911,live oxen,2022
01022919,live male cattle other than oxen,2022
01022990,"live cattle, other than pure-bred breeding animals, other than male cattle",2022
01023100,"live buffalo, pure-bred breeding animals",2022
01023900,"live buffalo, other than pure-bred breeding animals",2022
01029010,"live bovine animals, other than cattle and buffalo, pure-bred breeding animals",2022
01029090,"live bovine animals, other than cattle and buffalo, other than pure-bred breeding animals",2022
01031000,"live swine, pure-bred breeding animals",2022
01039100,"live swine, other than pure-bred breeding animals, weighing less than 50 kg",2022
01039200,"live swine, other than pure-bred breeding animals, weighing 50 kg or more",2022
01041010,"live sheep, pure-bred breeding animals",2022
01041090,"live sheep, other than pure-bred breeding animals",2022
01042010,"live goats, pure-bred breeding animals",2022
01042090,"live goats, other than pure-bred breeding animals",2022
01051110,"breeding fowls of the species gallus domesticus, weighing not more than 185 g",2022
01051190,"live fowls of the species gallus domesticus, other than breeding, weighing not more than 185 g",2022
01051210,"breeding turkeys, weighing not more than 185 g",2022
01051290,"live turkeys, other than breeding, weighing not more than 185 g",2022
01051310,"breeding ducklings, weighing not more than 185 g",2022
01051390,"live ducklings, other than breeding, weighing not more than 185 g",2022
01051410,"breeding goslings, weighing not more than 185 g",2022
01051490,"live geese, other than breeding, weighing not more than 185 g",2022
01051510,"breeding guinea fowls, weighing not more than 185 g",2022
01051590,"live guinea fowls, other than breeding, weighing not more than 185 g",2022
01059410,"breeding fowls of the species gallus domesticus other than fighting cocks, weighing more than 185 g",2022
01059441,"live fighting cocks of the species gallus domesticus, 185 g = weighing = 2 kg",2022
01059449,"live fighting cocks of the species gallus domesticus, weighing more than 2 kg",2022
01059491,"live fowls of the species gallus domesticus, other than breeding fowls and fighting cocks, 185 g = weighing
= 2 kg",2022
01059499,"live fowls of the species gallus domesticus, other than breeding fowls and fighting cocks, weighing more
than 2 kg",2022
01059910,"breeding ducks, weighing more than 185 g",2022
01059920,"live ducks other than breeding, weighing more than 185 g",2022
01059930,"breeding geese, turkeys, and guinea fowls, weighing more than 185 g",2022
01059940,"live geese, turkeys, and guinea fowls, other than breeding, weighing more than 185 g",2022
01061100,live primates,2022
01061210,"live whales, dolphins and porpoises (mammals of the order cetacea), manatees and dugongs (mammals
of the order sirenia)",2022
01061220,"live seals, sea lions and walruses (mammals of the suborder pinnipedia)",2022
01061300,live camels and other camelids (camelidae),2022
01061400,live rabbits and hares,2022
01061900,"live mammals, other than in subheading 010611 to 010614",2022
01062000,live reptiles (including snakes and turtles),2022
01063100,live birds of prey,2022
01063200,"live psittaciformes (including parrots, parakeets, macaws and cockatoos)",2022
01063300,"live ostriches, emus (dromaius novaehollandiae)",2022
01063900,"live birds, other than birds of prey, psittaciformes, ostriches, emus (dromaius novaehollandiae)",2022
01064100,live bees,2022
01064900,live insects other than bees,2022
01069000,"live animals, other than in subheading 010611 to 010649",2022
02011000,"carcasses and half-carcasses meat of bovine animals, fresh or chilled",2022
02012000,"other cuts with bone in meat of bovine animals, fresh or chilled",2022
02013000,"boneless meat of bovine animals, fresh or chilled",2022
02021000,"carcasses and half-carcasses meat of bovine animals, frozen",2022
02022000,"other cuts with bone in meat of bovine animals, frozen",2022
02023000,"boneless meat of bovine animals, frozen",2022
02031100,"carcasses and half-carcasses meat of swine, fresh or chilled",2022
02031200,"hams, shoulders and cuts thereof, with bone in meat of swine, fresh or chilled",2022
02031900,"meat of swine other than carcasses,half carcasses, hams, shoulders and cuts thereof, with bone in, fresh
or chilled",2022
02032100,"carcasses and half-carcasses meat of swine, frozen",2022
02032200,"hams, shoulders and cuts thereof, with bone in meat of swine, frozen",2022
02032900,"meat of swine other than carcasses,half carcasses, hams, shoulders and cuts thereof, with bone in,
frozen",2022
02041000,"carcasses and half-carcasses of lamb, fresh or chilled",2022
02042100,"carcasses and half-carcasses meat of sheep, fresh or chilled",2022
02042200,"other cuts with bone in meat of sheep, fresh or chilled",2022
02042300,"boneless meat of sheep, fresh or chilled",2022
02043000,"carcasses and half-carcasses of lamb, frozen",2022
02044100,"carcasses and half-carcasses meat of sheep, frozen",2022
02044200,"other cuts with bone in meat of sheep, frozen",2022
02044300,"boneless meat of sheep, frozen",2022
02045000,"meat of goats, fresh, chilled or frozen",2022
02050000,"meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2022
02061000,"edible offal of bovine animals, fresh or chilled",2022
02062100,"tongues of bovine animals, frozen",2022
02062200,"livers of bovine animals, frozen",2022
02062900,"edible offal of bovine animals other than tongues and livers, frozen",2022
02063000,"edible offal of swine, fresh or chilled",2022
02064100,"livers of swine, frozen",2022
02064900,"edible offal of swine, other than livers, frozen",2022
02068000,"edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",2022
02069000,"edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2022
02071100,"meat and edible offal of fowls of the species gallus domesticus, not cut in pieces, fresh or chilled",2022
02071200,"meat and edible offal of fowls of the species gallus domesticus, not cut in pieces, frozen",2022
02071300,"meat and edible offal of fowls of the species gallus domesticus, cuts and offal, fresh or chilled",2022
02071410,"wings of fowls of the species gallus domesticus, frozen",2022
02071420,"thighs of fowls of the species gallus domesticus, frozen",2022
02071430,"livers of fowls of the species gallus domesticus, frozen",2022
02071491,"mechanically deboned or separated meat of fowls of the species gallus domesticus, other than wings and
thighs, frozen",2022
02071499,"meat and edible offal of fowls of the species gallus domesticus, other than mechanically deboned or
separated meat, wings, thighs and livers, frozen",2022
02072400,"meat and edible offal of turkeys, not cut in pieces, fresh or chilled",2022
02072500,"meat and edible offal of turkeys, not cut in pieces, frozen",2022
02072600,"meat and edible offal of turkeys, cuts and offal, fresh or chilled",2022
02072710,"livers of turkeys, frozen",2022
02072791,"mechanically deboned or separated meat of turkeys, frozen",2022
02072799,"meat and edible offal of turkeys, cuts and offal, other than mechanically deboned or separated meat and
livers, frozen",2022
02074100,"meat and edible offal of ducks not cut in pieces, fresh or chilled",2022
02074200,"meat and edible offal of ducks not cut in pieces, frozen",2022
02074300,"fatty livers of ducks, fresh or chilled",2022
02074400,"meat and edible offal of ducks, cut in pieces and other than fatty livers, fresh or chilled",2022
02074510,"fatty livers of ducks, frozen",2022
02074590,"meat and edible offal of ducks, cut in pieces and other than fatty livers, frozen",2022
02075100,"meat and edible offal of geese, not cut in pieces, fresh or chilled",2022
02075200,"meat and edible offal of geese, not cut in pieces, frozen",2022
02075300,"fatty livers of geese, fresh or chilled",2022
02075400,"meat and edible offal of geese, cut in pieces and other than fatty livers, fresh or chilled",2022
02075510,"fatty livers of geese, frozen",2022
02075590,"meat and edible offal of geese, cut in pieces and other than fatty livers, frozen",2022
02076010,"meat and edible offal of guinea fowls, not cut in pieces, fresh or chilled",2022
02076020,"meat and edible offal of guinea fowls, not cut in pieces, frozen",2022
02076030,"meat and edible offal of guinea fowls, cuts and offal, fresh or chilled",2022
02076040,"meat and edible offal of guinea fowls, cuts and offal, frozen",2022
02081000,"meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",2022
02083000,"meat and edible meat offal of primates, fresh, chilled or frozen",2022
02084010,"meat and edible meat offal of whales, dolphins and porpoises (mammals of the order cetacea), of manatees and dugongs (mammals of the order sirenia), fresh, chilled or frozen",2022
02084090,"meat and edible meat offal of seals, sea lions and walruses (mammals of the suborder pinnipedia), fresh,
chilled or frozen",2022
02085000,"meat and edible meat offal of reptiles (including snakes and turtles), fresh, chilled or frozen",2022
02086000,"meat and edible meat offal of camels and other camelids (camelidae), fresh, chilled or frozen",2022
02089010,"frogs' legs fresh, chilled or frozen",2022
02089090,"meat and edible meat offal, other than hs 02081000 to 02089010, fresh, chilled or frozen",2022
02091000,"pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried
or smoked",2022
02099000,"poultry fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine,
dried or smoked",2022
02101100,"hams, shoulders and cuts thereof, with bone in meat of swine, salted, in brine, dried or smoked",2022
02101200,"bellies (streaky) and cuts thereof meat of swine, salted, in brine, dried or smoked",2022
02101930,"bacon, boneless hams meat of swine, salted, in brine, dried or smoked",2022
02101990,"meat of swine, other than hams, shoulders and cuts thereof, with bone in, bellies (streaky) and cuts
thereof, bacon, boneless hams, salted, in brine, dried or smoked",2022
02102000,"meat of bovine animals, salted, in brine, dried or smoked",2022
02109100,"meat and edible meat offal of primates including edible flours and meals of meat or meat offal, salted, in
brine, dried or smoked",2022
02109210,"meat and edible meat offal of whales, dolphins and porpoises, of manatees and dugongs including edible
flours and meals of meat or meat offal , salted, in brine, dried or smoked",2022
02109290,"meat and edible meat offal of seals, sea lions and walruses (mammals of the suborder pinnipedia) including edible flours and meals of meat or meat offal , salted, in brine, dried or smoked",2022
02109300,"meat and edible meat offal of reptiles (including snakes and turtles) including edible flours and meals of
meat or meat offal, salted, in brine, dried/smoked",2022
02109910,freeze-dried diced chicken,2022
02109920,dried pork skin,2022
02109990,"meat and edible meat offal, other than hs code 02101100 to 02109920 including edible flours and meals
of meat or meat offal, salted, in brine, dried or smoked",2022
03011110,live fry freshwater ornamental fish,2022
03011191,live koi carp (cyprinus carpio) other than fry,2022
03011192,live goldfish (carassius auratus) other than fry,2022
03011193,live siamese fighting fish (beta splendens) other than fry,2022
03011195,live arowanas (scleropages formosus) other than fry,2022
03011199,"live freshwater ornamental fish, other than hs code 03011191 to 03011195, other than fry",2022
03011910,"live fry ornamental fish, other than freshwater fish",2022
03011990,"live ornamental fish other than freshwater fish, other than fry",2022
03019100,"live trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita,
oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)",2022
03019200,live eels (anguilla spp),2022
03019321,"breeding, other than fry of cyprinus spp, carassius spp, ctenopharyngodon idellus, hypophthalmichthys
spp, cirrhinus spp, mylopharyngodon piceus",2022
03019322,"live fry of cyprinus spp, carassius spp, ctenopharyngodon idellus, hypophthalmichthys spp, cirrhinus spp,
mylopharyngodon piceus",2022
